Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1210,3,2.2uF,
C10,0805,1,47pF,
C4,0805,1,2.2uF,
C5,0805,1,0.1uF,
"C6, C7, C8",1210,3,47uF,
C9,0805,1,4700pF,
D1,SMC,1,B560C,
L1,WE-PDF_1064,1,7.2uH,
R1,0805,1,442K,
R2,0805,1,90.9K,
R3,0805,1,243K,
R4,0805,1,16.9K,
R5,0805,1,33K,
R6,0805,1,10K,
RV1,Potentiometer_Bourns_3214W_Vertical,1,250k,
TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,Vin,
"TP2, TP4",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,2,GND,
TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,Vout,
U1,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,TPS54560DDA,
