Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0,-109.475,270.0,top
C10,161.0,-118.0,0.0,top
C2,153.0,-114.725,270.0,top
C3,153.0,-119.975,270.0,top
C4,153.0,-124.5,270.0,top
C5,161.05,-115.0,0.0,top
C6,176.5,-123.025,270.0,top
C7,172.5,-123.025,270.0,top
C8,167.5,-116.5,270.0,top
C9,186.0,-110.45,90.0,top
D1,164.0,-123.0,180.0,top
L1,177.3,-112.5,0.0,top
R1,156.0,-110.8625,90.0,top
R2,156.0,-123.45,90.0,top
R3,156.0,-116.8625,90.0,top
R4,186.0,-113.9875,90.0,top
R5,186.0,-117.4875,90.0,top
R6,186.0,-120.9875,90.0,top
RV1,181.5,-123.05,0.0,top
U1,164.65,-109.595,0.0,top
